"ID","Label","type"
"梁公任","梁公任","author"
"杨明","杨明","author"
"严景曜","严景曜","author"
"昭抡","昭抡","author"
"柳宗元","柳宗元","author"
"秦柳方","秦柳方","author"
"齐纬","齐纬","author"
"光军","光军","author"
"光年","光年","author"
"曹刚","曹刚","author"
"罗西","罗西","author"
"罗隆基","罗隆基","author"
"陶行知","陶行知","author"
"俞颂华","俞颂华","author"
"冬予里","冬予里","author"
"努生","努生","author"
"孙宝毅","孙宝毅","author"
"平心","平心","author"
"愚公","愚公","author"
"景宋","景宋","author"
"曹聚仁","曹聚仁","author"
"柳亚子","柳亚子","author"
"石啸冲","石啸冲","author"
"祝世康","祝世康","author"
"程澄之","程澄之","author"
"肥遯","肥遯","author"
"胡毅","胡毅","author"
"董秋斯","董秋斯","author"
"问梁","问梁","author"
"陈曦","陈曦","author"
"马寅初","马寅初","author"
"黄巨兴","黄巨兴","author"
"黄炎培","黄炎培","author"
"万影","万影","author"
"严景耀","严景耀","author"
"严问天","严问天","author"
"丰子恺","丰子恺","author"
"但维斯","但维斯","author"
"光未然","光未然","author"
"农慕之","农慕之","author"
"冯玉祥","冯玉祥","author"
"卢蕻","卢蕻","author"
"叔梁","叔梁","author"
"吴晗","吴晗","author"
"周建人","周建人","author"
"周谷城","周谷城","author"
"夏孟辉","夏孟辉","author"
"孟南","孟南","author"
"宾符","宾符","author"
"尊闻","尊闻","author"
"小鱼","小鱼","author"
"屠西","屠西","author"
"左拉","左拉","author"
"引流","引流","author"
"张一凡","张一凡","author"
"张君劢","张君劢","author"
"张申府","张申府","author"
"张礼千","张礼千","author"
"徐植","徐植","author"
"徐相任","徐相任","author"
"思慕","思慕","author"
"慕英","慕英","author"
"戚陈德珍","戚陈德珍","author"
"拾风","拾风","author"
"施艾","施艾","author"
"施贻","施贻","author"
"曾守约","曾守约","author"
"曾琦","曾琦","author"
"李战林","李战林","author"
"柳诒","柳诒","author"
"沈志远","沈志远","author"
"潘大逵","潘大逵","author"
"澹庐","澹庐","author"
"灕流","灕流","author"
"燕士","燕士","author"
"王以中","王以中","author"
"王伯祥","王伯祥","author"
"王立果","王立果","author"
"田禾","田禾","author"
"申迟","申迟","author"
"箫明","箫明","author"
"罗守信","罗守信","author"
"罗涵先","罗涵先","author"
"胡剑","胡剑","author"
"胡曲园","胡曲园","author"
"胡钊","胡钊","author"
"艾秋飙","艾秋飙","author"
"苏尔齐伯格","苏尔齐伯格","author"
"范华农","范华农","author"
"茅盾","茅盾","author"
"谈兵","谈兵","author"
"费孝通","费孝通","author"
"费稳","费稳","author"
"邓初民","邓初民","author"
"郑初民","郑初民","author"
"郑振铎","郑振铎","author"
"郑森禹","郑森禹","author"
"郭沫若","郭沫若","author"
"阿特里","阿特里","author"
"陈康成","陈康成","author"
"陈正飞","陈正飞","author"
"陈辛","陈辛","author"
"陈鼎龢","陈鼎龢","author"
"陶大镛","陶大镛","author"
"顾均正","顾均正","author"
"马丁","马丁","author"
"马星野","马星野","author"
"高扬","高扬","author"
"黄大能","黄大能","author"
"黄裳","黄裳","author"
"黎平","黎平","author"
"黎舫","黎舫","author"
"Bercovici，K.","Bercovici，K.","author"
"Clark，B.","Clark，B.","author"
"F._Geyrasi","F._Geyrasi","author"
"Hogg，P.","Hogg，P.","author"
"Milner，I.","Milner，I.","author"
"一学生","一学生","author"
"一民","一民","author"
"一生","一生","author"
"丁一","丁一","author"
"丁易","丁易","author"
"丁玲","丁玲","author"
"丁聪","丁聪","author"
"丁西林","丁西林","author"
"万英","万英","author"
"不耳","不耳","author"
"丘八大","丘八大","author"
"东方晦之","东方晦之","author"
"严亚明","严亚明","author"
"严信民","严信民","author"
"严克","严克","author"
"严奇","严奇","author"
"严延","严延","author"
"严景矅","严景矅","author"
"丹尼尔","丹尼尔","author"
"于蒪","于蒪","author"
"亚槐","亚槐","author"
"以君","以君","author"
"任华","任华","author"
"任四维","任四维","author"
"伊利奥特","伊利奥特","author"
"伍同伐","伍同伐","author"
"伍启元","伍启元","author"
"伯伟","伯伟","author"
"伯华","伯华","author"
"伯韩","伯韩","author"
"何其芳","何其芳","author"
"何惧","何惧","author"
"何方","何方","author"
"何达","何达","author"
"余伯约","余伯约","author"
"余剡溪","余剡溪","author"
"侯外卢","侯外卢","author"
"侯外庐","侯外庐","author"
"俊生","俊生","author"
"俞焕文","俞焕文","author"
"傅彬然","傅彬然","author"
"傅雷","傅雷","author"
"光涛","光涛","author"
"克士","克士","author"
"全杨","全杨","author"
"公健","公健","author"
"公孙未央","公孙未央","author"
"其良","其良","author"
"再生侯北人","再生侯北人","author"
"冯乃超","冯乃超","author"
"冯克","冯克","author"
"冯少山","冯少山","author"
"冶人","冶人","author"
"冷红","冷红","author"
"冷遹","冷遹","author"
"冷风","冷风","author"
"凤子","凤子","author"
"刘尊棋","刘尊棋","author"
"刘清扬","刘清扬","author"
"刘瑞林","刘瑞林","author"
"刘逸","刘逸","author"
"刘铁华","刘铁华","author"
"力扬","力扬","author"
"劳莹","劳莹","author"
"北人","北人","author"
"千里","千里","author"
"华心","华心","author"
"华臣","华臣","author"
"华阳","华阳","author"
"卢剑公","卢剑公","author"
"卢铎","卢铎","author"
"友非","友非","author"
"反对内战","反对内战","author"
"叔伟","叔伟","author"
"史国卫","史国卫","author"
"史笃","史笃","author"
"叶君","叶君","author"
"叶圣陶","叶圣陶","author"
"叶文雄","叶文雄","author"
"司马星","司马星","author"
"吉人","吉人","author"
"吕剑","吕剑","author"
"吕德润","吕德润","author"
"君山","君山","author"
"吴世昌","吴世昌","author"
"吴大琨","吴大琨","author"
"吴斐丹","吴斐丹","author"
"吴晓","吴晓","author"
"吴清友","吴清友","author"
"吴王琨","吴王琨","author"
"吴祖光","吴祖光","author"
"吴纪","吴纪","author"
"吴荣甲","吴荣甲","author"
"吴藻溪","吴藻溪","author"
"吴铁","吴铁","author"
"周予同","周予同","author"
