"ID","Label","type"
"新命","新命","author"
"施维卓夫","施维卓夫","author"
"阿尔古斯","阿尔古斯","author"
"郭沫若","郭沫若","author"
"史大林","史大林","author"
"梁公任","梁公任","author"
"史米尔诺夫","史米尔诺夫","author"
"建人","建人","author"
"戚礼朴","戚礼朴","author"
"杨明","杨明","author"
"严景曜","严景曜","author"
"张文伯","张文伯","author"
"昭抡","昭抡","author"
"柳宗元","柳宗元","author"
"秦柳方","秦柳方","author"
"米谷","米谷","author"
"胡春冰","胡春冰","author"
"许师愼","许师愼","author"
"陶伯","陶伯","author"
"齐纬","齐纬","author"
"伊戈斯","伊戈斯","author"
"光军","光军","author"
"光年","光年","author"
"右民","右民","author"
"叶青","叶青","author"
"守巧夫","守巧夫","author"
"张德粹","张德粹","author"
"曹刚","曹刚","author"
"曾资生","曾资生","author"
"米哈伊洛夫","米哈伊洛夫","author"
"罗西","罗西","author"
"罗隆基","罗隆基","author"
"萧萧","萧萧","author"
"陆复初","陆复初","author"
"陶行知","陶行知","author"
"高尔基","高尔基","author"
"于友","于友","author"
"伯侨","伯侨","author"
"俞颂华","俞颂华","author"
"元璧","元璧","author"
"冬予里","冬予里","author"
"努生","努生","author"
"勃拉尼克","勃拉尼克","author"
"卡尔明","卡尔明","author"
"叶靑","叶靑","author"
"孙宝毅","孙宝毅","author"
"巴斯金","巴斯金","author"
"平心","平心","author"
"库士聂卓夫","库士聂卓夫","author"
"库尔干诺夫","库尔干诺夫","author"
"愚公","愚公","author"
"戈尔巴朵夫","戈尔巴朵夫","author"
"景宋","景宋","author"
"曹聚仁","曹聚仁","author"
"柯马洛夫","柯马洛夫","author"
"柳亚子","柳亚子","author"
"梁寒操","梁寒操","author"
"波列伏伊","波列伏伊","author"
"源天","源天","author"
"石啸冲","石啸冲","author"
"祝世康","祝世康","author"
"秦牧","秦牧","author"
"程澄之","程澄之","author"
"端木蕻良","端木蕻良","author"
"罗曼","罗曼","author"
"肥遯","肥遯","author"
"胡毅","胡毅","author"
"莫馨娜","莫馨娜","author"
"葛洛斯曼","葛洛斯曼","author"
"董秋斯","董秋斯","author"
"蒋君章","蒋君章","author"
"问梁","问梁","author"
"陈曦","陈曦","author"
"顾德列伐蒂赫","顾德列伐蒂赫","author"
"马寅初","马寅初","author"
"黄巨兴","黄巨兴","author"
"黄洛","黄洛","author"
"黄炎培","黄炎培","author"
"万影","万影","author"
"丘斌存","丘斌存","author"
"严景耀","严景耀","author"
"严问天","严问天","author"
"丰子恺","丰子恺","author"
"伊巴鲁里","伊巴鲁里","author"
"但维斯","但维斯","author"
"光未然","光未然","author"
"克年席夫","克年席夫","author"
"农慕之","农慕之","author"
"冯玉祥","冯玉祥","author"
"刘赤柯夫","刘赤柯夫","author"
"加里宁","加里宁","author"
"卡尔平斯基","卡尔平斯基","author"
"卢蕻","卢蕻","author"
"叔梁","叔梁","author"
"史迁宾","史迁宾","author"
"吴晗","吴晗","author"
"吴约翰","吴约翰","author"
"吴铁城","吴铁城","author"
"周冠羣","周冠羣","author"
"周建人","周建人","author"
"周敦礼","周敦礼","author"
"周谷城","周谷城","author"
"嘉喜善","嘉喜善","author"
"土匈诺夫","土匈诺夫","author"
"夏孟辉","夏孟辉","author"
"奥勃拉齐卓夫","奥勃拉齐卓夫","author"
"子叶","子叶","author"
"孟南","孟南","author"
"守仁","守仁","author"
"宋孟桃","宋孟桃","author"
"宾符","宾符","author"
"尊闻","尊闻","author"
"小鱼","小鱼","author"
"屠西","屠西","author"
"左拉","左拉","author"
"引流","引流","author"
"张一凡","张一凡","author"
"张勉","张勉","author"
"张君劢","张君劢","author"
"张申府","张申府","author"
"张礼千","张礼千","author"
"徐植","徐植","author"
"徐相任","徐相任","author"
"徐苏灵","徐苏灵","author"
"徐行","徐行","author"
"思慕","思慕","author"
"慕英","慕英","author"
"戈洛夫","戈洛夫","author"
"戚陈德珍","戚陈德珍","author"
"拾风","拾风","author"
"斯密诺夫","斯密诺夫","author"
"施坦因","施坦因","author"
"施艾","施艾","author"
"施贻","施贻","author"
"曾守约","曾守约","author"
"曾琦","曾琦","author"
"朱斆春","朱斆春","author"
"李战林","李战林","author"
"李翁诺夫","李翁诺夫","author"
"杨__","杨__","author"
"杨保民","杨保民","author"
"杨先义","杨先义","author"
"杨槐","杨槐","author"
"查斯拉夫斯基","查斯拉夫斯基","author"
"柳诒","柳诒","author"
"树柯夫","树柯夫","author"
"毕尔伏玛依斯基","毕尔伏玛依斯基","author"
"沈志远","沈志远","author"
"沙柯","沙柯","author"
"波克希谢夫斯基","波克希谢夫斯基","author"
"波克希雪夫斯基","波克希雪夫斯基","author"
"波诺马列夫","波诺马列夫","author"
"洪深","洪深","author"
"淑林","淑林","author"
"潘大逵","潘大逵","author"
"澹庐","澹庐","author"
"灕流","灕流","author"
"熊佛西","熊佛西","author"
"燕士","燕士","author"
"爱伦堡","爱伦堡","author"
"王以中","王以中","author"
"王伯祥","王伯祥","author"
"王光汉","王光汉","author"
"王新命","王新命","author"
"王立果","王立果","author"
"王良嘉","王良嘉","author"
"甘乃先","甘乃先","author"
"甘乃光","甘乃光","author"
"田禾","田禾","author"
"申迟","申迟","author"
"穆超","穆超","author"
"箫明","箫明","author"
"米哈依洛夫","米哈依洛夫","author"
"米尔尼柯夫","米尔尼柯夫","author"
"粟显运","粟显运","author"
"维希聂夫斯基","维希聂夫斯基","author"
"维辛斯基","维辛斯基","author"
"罗守信","罗守信","author"
"罗涵先","罗涵先","author"
"胡剑","胡剑","author"
"胡曲园","胡曲园","author"
"胡钊","胡钊","author"
"艾秋飙","艾秋飙","author"
"苏尔","苏尔","author"
"苏尔齐伯格","苏尔齐伯格","author"
"范华农","范华农","author"
"茅盾","茅盾","author"
"莫洛托夫","莫洛托夫","author"
"葛罗宾","葛罗宾","author"
"蒋炳贤","蒋炳贤","author"
"裘维瑛","裘维瑛","author"
"詹文浒","詹文浒","author"
"谈兵","谈兵","author"
"谢东平","谢东平","author"
"费孝通","费孝通","author"
"费稳","费稳","author"
"赵兰坪","赵兰坪","author"
"赵得之","赵得之","author"
"达伊金","达伊金","author"
"邓初民","邓初民","author"
"邵冲霄","邵冲霄","author"
"邵力子","邵力子","author"
"郑初民","郑初民","author"
"郑学稼","郑学稼","author"
"郑振铎","郑振铎","author"
"郑森禹","郑森禹","author"
"郑璋","郑璋","author"
"郭寿生","郭寿生","author"
"钱穆","钱穆","author"
"钱纳水","钱纳水","author"
"铁霍诺夫","铁霍诺夫","author"
"锺吕恩","锺吕恩","author"
"阿法那西叶夫","阿法那西叶夫","author"
"阿特拉斯","阿特拉斯","author"
"阿特里","阿特里","author"
"陈国钧","陈国钧","author"
"陈康成","陈康成","author"
"陈正飞","陈正飞","author"
"陈箇民","陈箇民","author"
"陈辛","陈辛","author"
"陈鼎龢","陈鼎龢","author"
"陶大镛","陶大镛","author"
"顾均正","顾均正","author"
"马丁","马丁","author"
"马星野","马星野","author"
"高扬","高扬","author"
"高迈","高迈","author"
"黄义本","黄义本","author"
"黄大能","黄大能","author"
"黄正铭","黄正铭","author"
"黄茅","黄茅","author"
"黄裳","黄裳","author"
"黎平","黎平","author"
"黎舫","黎舫","author"
"龚德柏","龚德柏","author"
"B._Ifor_Evans","B._Ifor_Evans","author"
"Bercovici，K.","Bercovici，K.","author"
"Clark，B.","Clark，B.","author"
"E.C.","E.C.","author"
"F._Geyrasi","F._Geyrasi","author"
"Francis_Sill_wickwrne","Francis_Sill_wickwrne","author"
"Hogg，P.","Hogg，P.","author"
